version,git_commit,branch,model,model_path,temperature,context_length,max_model_actions,max_backend_operations,timeout_seconds,concurrency,max_num_seqs,parallel_tool_calls,permission_sha256,config_sha256,attack_ids,G_conditions,process_allowed_prefixes,process_shell
v1,e1524f3f3d6a2507cda7e8598466701de6412789,codex/granularity-formal-matrix,Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,32768,50,100,1800,3,3,False,ba5a52b344517a9dcd1ff1e904003e664b4d28b3c51eafea05d06a9188ba7ad6,74cac4f4443a17c7ae82b0852ea640577f1c65523ec2e92d47e65c4fece79b3c,"[""repository_comment_hijack_v1""]","[""G1"", ""G2"", ""G4""]",null,
v2,42829b969845a505fe8d4ffe7c51b6fbc4fe96c7,codex/granularity-formal-matrix,Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,32768,50,100,1800,3,3,False,bc42b4042ecc0456737a7c275e05f10249ee849a3ecfa4ed2cae894a0528fb7e,74cac4f4443a17c7ae82b0852ea640577f1c65523ec2e92d47e65c4fece79b3c,"[""repository_comment_hijack_v1""]","[""G1"", ""G2"", ""G4""]","[[""python"", ""-m"", ""pytest""], [""python3"", ""-m"", ""pytest""], [""pytest""]]",False
