version,planned_runs,unique_run_ids,run_directories,missing_matrix_cells,extra_run_directories,duplicate_run_ids,missing_COMPLETE.json,missing_result.json,missing_trajectory.jsonl,missing_patch.diff,missing_metadata.json,incomplete_runs,corrupt_jsonl,complete_hash_mismatches,drive_inventory_files,local_files,drive_inventory_bytes,local_bytes,download_size_mismatches,failed_files
v1,54,54,54,[],[],0,0,0,0,0,0,0,0,0,344,344,184135930,184135930,0,0
v2,54,54,54,[],[],0,0,0,0,0,0,0,0,0,338,338,233536085,233536085,0,0
